"합계",노원구,월계1동,22768,1.16,19628,22875,1.16,19720
"합계",노원구,월계2동,29551,1.94,15232,28708,1.94,14798
"합계",노원구,월계3동,34984,1.17,29901,34528,1.17,29511
"합계",노원구,공릉2동,46120,6.82,6762,45297,6.82,6642
"합계",노원구,하계1동,30003,1.55,19357,29635,1.55,19119
"합계",노원구,하계2동,25304,0.51,49616,25078,0.51,49173
"합계",노원구,중계본동,29161,1.97,14803,28567,1.97,14501
"합계",노원구,중계1동,30124,0.63,47816,29782,0.63,47273
"합계",노원구,중계4동,22842,1.70,13436,22707,1.70,13357
"합계",노원구,상계1동,43376,5.62,7718,42935,5.62,7640
"합계",노원구,상계2동,22483,0.61,36857,22250,0.61,36475
"합계",노원구,상계5동,23769,0.44,54020,28084,0.44,63827
"합계",노원구,상계8동,26207,0.67,39115,26026,0.67,38845
"합계",노원구,상계9동,24156,0.81,29822,23848,0.81,29442
"합계",노원구,상계10동,20059,0.80,25074,19709,0.80,24636
"합계",노원구,상계3.4동,37314,5.62,6640,31990,5.62,5692
"합계",노원구,상계6.7동,36370,1.11,32766,35872,1.11,32317
"합계",노원구,중계2.3동,41126,0.90,45696,40388,0.90,44876
"합계",노원구,공릉1동,40339,1.41,28609,39942,1.41,28328
"합계",은평구,소계,503243,29.70,16943,502578,29.70,16920
"합계",은평구,녹번동,31163,1.79,17409,32347,1.79,18071
"합계",은평구,불광1동,43291,3.13,13831,42770,3.13,13665
"합계",은평구,갈현1동,26023,0.97,26828,25892,0.97,26693
"합계",은평구,갈현2동,29942,0.96,31190,30309,0.96,31572
"합계",은평구,구산동,33646,1.38,24381,34330,1.38,24877
"합계",은평구,대조동,32892,0.85,38696,33327,0.85,39208
"합계",은평구,응암1동,32588,1.20,27157,32806,1.20,27338
"합계",은평구,응암2동,25370,0.78,32526,23264,0.78,29826
"합계",은평구,신사1동,28319,0.84,33713,28541,0.84,33977
"합계",은평구,신사2동,22288,1.00,22288,22193,1.00,22193
"합계",은평구,증산동,20496,0.81,25304,19978,0.81,24664
"합계",은평구,수색동,18780,1.29,14558,16723,1.29,12964
"합계",은평구,진관동,51981,11.52,4512,53613,11.52,4654
"합계",은평구,불광2동,29421,1.38,21320,29328,1.38,21252
"합계",은평구,응암3동,27623,0.63,43846,27254,0.63,43260
"합계",은평구,역촌동,49420,1.16,42603,49903,1.16,43020
"합계",서대문구,소계,320861,17.61,18225,323105,17.61,18351
"합계",서대문구,천연동,20278,0.97,20905,20114,0.97,20736
"합계",서대문구,홍제1동,26592,1.23,21620,24438,1.23,19868
"합계",서대문구,홍제3동,19875,0.81,24537,19614,0.81,24215
"합계",서대문구,홍제2동,15540,1.05,14800,15446,1.05,14710
"합계",서대문구,홍은1동,25651,1.58,16235,24842,1.58,15723
"합계",서대문구,홍은2동,30540,2.06,14825,30401,2.06,14758
"합계",서대문구,남가좌1동,3718,0.48,7746,11293,0.51,22143
"합계",서대문구,남가좌2동,29817,0.79,37743,27549,0.77,35778
"합계",서대문구,북가좌1동,19990,0.53,37717,19844,0.52,38162
"합계",서대문구,북가좌2동,34264,0.84,40790,34629,0.84,41225
"합계",서대문구,충현동,19650,1.12,17545,19376,1.12,17300
"합계",서대문구,북아현동,10544,0.46,22922,11154,0.46,24248
"합계",서대문구,신촌동,22027,2.63,8375,22545,2.63,8572
"합계",서대문구,연희동,42375,3.05,13893,41860,3.05,13725
"합계",마포구,소계,395830,23.84,16607,398351,23.84,16706
"합계",마포구,용강동,20293,0.84,24158,22138,0.84,26355
"합계",마포구,대흥동,17275,0.88,19631,15405,0.88,17506
"합계",마포구,염리동,15724,0.42,37438,16005,0.43,37221
"합계",마포구,신수동,21619,0.78,27717,20230,0.78,25936
"합계",마포구,서교동,29383,1.63,18026,28125,1.65,17045
"합계",마포구,합정동,19732,1.71,11539,19986,1.69,11826
"합계",마포구,망원1동,23402,1.14,20528,22751,1.14,19957
